Scenario,"Decision Rule (0: fixed, 1: adaptive)",Time of starting social distancing,Time of lifting social distancing,Switch threshod if social distancing is off,Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total New: I,Total: To I,Averge size: S,Averge size: Population size,Average ratio: % Susceptible
Base,0,5,5,0,0,-477243177,1130939547,142817.7023,475815000,95163000,95163,95163,45594.36842,100001,0.447622971
Base,0,5,5,0,0,-476149905.3,1934069847,142490.5346,474725000,94945000,94945,94945,42240.2619,100001,0.423009261
Base,0,5,5,0,0,-468135923.1,618656782,140092.3054,466735000,93347000,93347,93347,49401.94009,100001,0.46987982
Base,0,5,5,0,0,-462002568.6,235587102,138256.8646,460620000,92124000,92124,92124,57230.98551,100001,0.538897202
Base,0,5,5,0,0,-477403657.3,1834266050,142865.7269,475975000,95195000,95195,95195,48216.81111,100001,0.445644597
Base,0,5,5,0,0,-467303431.8,1837431988,139843.1777,465905000,93181000,93181,93181,48582.76608,100001,0.486106011
Base,0,5,5,0,0,-447840186.9,2045512845,134018.6923,446500000,89300000,89300,89300,53514.21134,100001,0.520479822
Base,0,5,5,0,0,-467890187.7,1851495031,140018.7677,466490000,93298000,93298,93298,50161.0804,100001,0.494180439
Base,0,5,5,0,0,-463672566.2,1491891468,138756.6208,462285000,92457000,92457,92457,47391.14976,100001,0.471675911
Base,0,5,5,0,0,-478516989,366141683,143198.8977,477085000,95417000,95417,95417,56217.19653,100001,0.47433836
Base,0,5,5,0,0,-478115788.4,464048669,143078.8362,476685000,95337000,95337,95337,44316.18293,100001,0.443645503
Base,0,5,5,0,0,-481149868,448040070,143986.8015,479710000,95942000,95942,95942,50121.12717,100001,0.464380171
Base,0,5,5,0,0,-475086723.7,1789498617,142172.3715,473665000,94733000,94733,94733,47352.90303,100001,0.454114021
Base,0,5,5,0,0,-465678569.3,2119927317,139356.9285,464285000,92857000,92857,92857,43431.79151,100001,0.355370174
Base,0,5,5,0,0,-452323603.8,1737399153,135360.38,450970000,90194000,90194,90194,49212.71429,100001,0.474366982
Base,0,5,5,0,0,-475773779.8,1499846043,142377.9769,474350000,94870000,94870,94870,44910.02551,100001,0.449486774
Base,0,5,5,0,0,-477273267.1,863291901,142826.7069,475845000,95169000,95169,95169,52734.26154,100001,0.458221383
Base,0,5,5,0,0,-464043676.8,1939561116,138867.6777,462655000,92531000,92531,92531,46622.2663,100001,0.46660501
Base,0,5,5,0,0,-466927306.2,1094166452,139730.62,465530000,93106000,93106,93106,48201.32258,100001,0.462528041
Base,0,5,5,0,0,-473296366,1518871825,141636.5969,471880000,94376000,94376,94376,54079.00515,100001,0.44026016
Base,0,5,5,0,0,-479093714.9,1934996812,143371.4862,477660000,95532000,95532,95532,45845.40104,100001,0.403117169
Base,0,5,5,0,0,-442955569.4,1880872988,132556.9431,441630000,88326000,88326,88326,50811.31064,100001,0.488829737
Base,0,5,5,0,0,-472072704.1,1527900317,141270.4092,470660000,94132000,94132,94132,45053.50307,100001,0.422860643
Base,0,5,5,0,0,-480864012.6,320486048,143901.2577,479425000,95885000,95885,95885,44530.78947,100001,0.442151434
Base,0,5,5,0,0,-462323529.1,1853263861,138352.9138,460940000,92188000,92188,92188,52962.40201,100001,0.529668303
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1315942018,1130939547,355.6823077,1315938462,263187692.3,237,237,99849.87903,100001,0.998456983
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2166632468,1934069847,142516.0477,2165207308,433041461.5,94962,94962,70112.41905,100001,0.700562646
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-940619132.7,618656782,451.7315385,940614615.4,188122923.1,301,301,99846.98198,100001,0.998313154
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1127362829,235587102,129.0661538,1127361538,225472307.7,86,86,99952.28689,100001,0.999450746
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2165820037,1834266050,142272.9231,2164397308,432879461.5,94800,94800,72849.79221,100001,0.716841821
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-940874898.1,1837431988,528.2707692,940869615.4,188173923.1,352,352,99788.375,100001,0.997879609
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1128250485,2045512845,394.7023077,1128246538,225649307.7,263,263,99840.82759,100001,0.998318305
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1315681238,1851495031,277.6423077,1315678462,263135692.3,185,185,99885.66667,100001,0.998822592
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1033777843,1491891468,226.6161538,1033775577,206755115.4,151,151,99907.25743,100001,0.999057039
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2167730755,366141683,142844.7162,2166302308,433260461.5,95181,95181,75079.04075,100001,0.725173882
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1693531688,464048669,937.9807692,1693522308,338704461.5,625,625,99595.51282,100001,0.995953034
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1598557544,448040070,619.8176923,1598551346,319710269.2,413,413,99754.37736,100001,0.9973405
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2165975502,1789498617,142319.4469,2164552308,432910461.5,94831,94831,73606.51148,100001,0.730080499
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2154621525,2119927317,138921.7054,2153232308,430646461.5,92567,92567,70420.21038,100001,0.675446022
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1692102410,1737399153,510.2615385,1692097308,338419461.5,340,340,99762.78846,100001,0.997513692
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2166100877,1499846043,142356.9662,2164677308,432935461.5,94856,94856,69023.64865,100001,0.68973921
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2166371688,863291901,142438.0077,2164947308,432989461.5,94910,94910,72114.90476,100001,0.698174621
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-846637961.1,1939561116,430.7207692,846633653.8,169326730.8,287,287,99816.1573,100001,0.998158352
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2158046775,1094166452,139946.7308,2156647308,431329461.5,93250,93250,69368.72207,100001,0.68643158
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2161933406,1518871825,141109.8269,2160522308,432104461.5,94025,94025,73821.18367,100001,0.707882468
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2169044687,1934996812,143237.9177,2167612308,433522461.5,95443,95443,69309.0697,100001,0.674893571
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-658073816.8,1880872988,208.6069231,658071730.8,131614346.2,139,139,99921.75904,100001,0.999117075
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-2160403829,1527900317,140652.0923,2158997308,431799461.5,93720,93720,72271.18831,100001,0.714701624
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1413890061,320486048,1563.801538,1413874423,282774884.6,1042,1042,99328.1875,100001,0.993233505
D:0| T0: 0.08| T1: 0.42| R0: 0.0| R1: 0.0,0,0.076923077,0.423076923,0,0,-1033732708,1853263861,213.1092308,1033730577,206746115.4,142,142,99930.40566,100001,0.999295988
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1315942018,1130939547,355.6823077,1315938462,263187692.3,237,237,99849.87903,100001,0.998456983
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1883159013,1934069847,1478.257692,1883144231,376628846.2,985,985,99311.07784,100001,0.993114593
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-940619132.7,618656782,451.7315385,940614615.4,188122923.1,301,301,99846.98198,100001,0.998313154
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1127362829,235587102,129.0661538,1127361538,225472307.7,86,86,99952.28689,100001,0.999450746
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2353877665,1834266050,142343.4592,2352454231,470490846.2,94847,94847,72896.44444,100001,0.718228346
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-940874898.1,1837431988,528.2707692,940869615.4,188173923.1,352,352,99788.375,100001,0.997879609
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1128250485,2045512845,394.7023077,1128246538,225649307.7,263,263,99840.82759,100001,0.998318305
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1315681238,1851495031,277.6423077,1315678462,263135692.3,185,185,99885.66667,100001,0.998822592
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1033777843,1491891468,226.6161538,1033775577,206755115.4,151,151,99907.25743,100001,0.999057039
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2354965922,366141683,142669.1262,2353539231,470707846.2,95064,95064,74587.56509,100001,0.721386883
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1787442649,464048669,937.9807692,1787433269,357486653.8,625,625,99595.51923,100001,0.995953098
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1598557544,448040070,619.8176923,1598551346,319710269.2,413,413,99754.37736,100001,0.9973405
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1787663309,1789498617,1004.014615,1787653269,357530653.8,669,669,99537.38323,100001,0.995202641
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2342573838,2119927317,138960.7254,2341184231,468236846.2,92593,92593,74602.33875,100001,0.721357343
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1692102410,1737399153,510.2615385,1692097308,338419461.5,340,340,99762.78846,100001,0.997513692
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2353922800,1499846043,142356.9662,2352499231,470499846.2,94856,94856,72663.75,100001,0.726050131
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2354063221,863291901,142398.9877,2352639231,470527846.2,94884,94884,70936.69355,100001,0.687956454
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-846637961.1,1939561116,430.7207692,846633653.8,169326730.8,287,287,99816.1573,100001,0.998158352
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2345803503,1094166452,139927.2208,2344404231,468880846.2,93237,93237,66353.67574,100001,0.656425552
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2350597850,1518871825,141361.9562,2349184231,469836846.2,94193,94193,75229.09917,100001,0.725257276
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2356816460,1934996812,143222.91,2355384231,471076846.2,95433,95433,71865.55457,100001,0.7023163
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-658073816.8,1880872988,208.6069231,658071730.8,131614346.2,139,139,99921.75904,100001,0.999117075
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-2348165572,1527900317,140634.0831,2346759231,469351846.2,93708,93708,72815.85266,100001,0.720552794
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1413890061,320486048,1563.801538,1413874423,282774884.6,1042,1042,99328.1875,100001,0.993233505
D:0| T0: 0.08| T1: 0.46| R0: 0.0| R1: 0.0,0,0.076923077,0.461538462,0,0,-1033732708,1853263861,213.1092308,1033730577,206746115.4,142,142,99930.40566,100001,0.999295988
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1315942018,1130939547,355.6823077,1315938462,263187692.3,237,237,99849.87903,100001,0.998456983
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1883159013,1934069847,1478.257692,1883144231,376628846.2,985,985,99311.07784,100001,0.993114593
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-940619132.7,618656782,451.7315385,940614615.4,188122923.1,301,301,99846.98198,100001,0.998313154
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1127362829,235587102,129.0661538,1127361538,225472307.7,86,86,99952.28689,100001,0.999450746
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2541870099,1834266050,142394.4854,2540446154,508089230.8,94881,94881,74061.57471,100001,0.730736906
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-940874898.1,1837431988,528.2707692,940869615.4,188173923.1,352,352,99788.375,100001,0.997879609
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1128250485,2045512845,394.7023077,1128246538,225649307.7,263,263,99840.82759,100001,0.998318305
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1315681238,1851495031,277.6423077,1315678462,263135692.3,185,185,99885.66667,100001,0.998822592
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1033777843,1491891468,226.6161538,1033775577,206755115.4,151,151,99907.25743,100001,0.999057039
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2542908205,366141683,142705.1446,2541481154,508296230.8,95088,95088,74494.27473,100001,0.722270277
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1787442649,464048669,937.9807692,1787433269,357486653.8,625,625,99595.51923,100001,0.995953098
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1598557544,448040070,619.8176923,1598551346,319710269.2,413,413,99754.37736,100001,0.9973405
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1787663309,1789498617,1004.014615,1787653269,357530653.8,669,669,99537.38323,100001,0.995202641
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2531920323,2119927317,139416.9592,2530526154,506105230.8,92897,92897,74786.42708,100001,0.724403408
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1692102410,1737399153,510.2615385,1692097308,338419461.5,340,340,99762.78846,100001,0.997513692
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2541664483,1499846043,142332.9538,2540241154,508048230.8,94840,94840,70628.4336,100001,0.705791618
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1974607606,863291901,741.38,1974600192,394920038.5,494,494,99728.77273,100001,0.996893594
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-846637961.1,1939561116,430.7207692,846633653.8,169326730.8,287,287,99816.1573,100001,0.998158352
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2067731211,1094166452,505.7592308,2067726154,413545230.8,337,337,99788.45699,100001,0.997784882
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2072766279,1518871825,2012.531538,2072746154,414549230.8,1341,1341,99167.40909,100001,0.990111604
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2544442798,1934996812,143164.38,2543011154,508602230.8,95394,95394,72911.34746,100001,0.714029685
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-658073816.8,1880872988,208.6069231,658071730.8,131614346.2,139,139,99921.75904,100001,0.999117075
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-2535892210,1527900317,140605.5685,2534486154,506897230.8,93689,93689,73076.62281,100001,0.723737061
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1413890061,320486048,1563.801538,1413874423,282774884.6,1042,1042,99328.1875,100001,0.993233505
D:0| T0: 0.08| T1: 0.50| R0: 0.0| R1: 0.0,0,0.076923077,0.5,0,0,-1033732708,1853263861,213.1092308,1033730577,206746115.4,142,142,99930.40566,100001,0.999295988
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1315942018,1130939547,355.6823077,1315938462,263187692.3,237,237,99849.87903,100001,0.998456983
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1883159013,1934069847,1478.257692,1883144231,376628846.2,985,985,99311.07784,100001,0.993114593
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-940619132.7,618656782,451.7315385,940614615.4,188122923.1,301,301,99846.98198,100001,0.998313154
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1127362829,235587102,129.0661538,1127361538,225472307.7,86,86,99952.28689,100001,0.999450746
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-2729842472,1834266050,142439.5085,2728418077,545683615.4,94911,94911,72424.97674,100001,0.714915963
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-940874898.1,1837431988,528.2707692,940869615.4,188173923.1,352,352,99788.375,100001,0.997879609
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1128250485,2045512845,394.7023077,1128246538,225649307.7,263,263,99840.82759,100001,0.998318305
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1315681238,1851495031,277.6423077,1315678462,263135692.3,185,185,99885.66667,100001,0.998822592
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1033777843,1491891468,226.6161538,1033775577,206755115.4,151,151,99907.25743,100001,0.999057039
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-2730584693,366141683,142661.6223,2729158077,545831615.4,95059,95059,75250.33245,100001,0.731221079
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1787442649,464048669,937.9807692,1787433269,357486653.8,625,625,99595.51923,100001,0.995953098
D:0| T0: 0.08| T1: 0.54| R0: 0.0| R1: 0.0,0,0.076923077,0.538461538,0,0,-1598557544,448040070,619.8176923,1598551346,319710269.2,413,413,99754.37736,100001,0.9973405
