0,Dummy 0,0.000,"(0.000, 0.000)"
1,Dummy 1,1.000,"(1.000, 1.000)"
2,"Ratio of TB infectivity, experienced to naive ",1.224,"(1.013, 1.457)"
3,"Ratio of TB infectivity, children to naive ",0.175,"(0.062, 0.288)"
4,"Infectivity of TB, Naive Adults",1.819,"(1.592, 2.486)"
5,"Infectivity of TB, Experienced Adults",1.819,"(1.592, 2.486)"
6,"Infectivity of TB, Children",0.322,"(0.130, 0.551)"
7,"Ratio of HIV infectivity, HIV+IC to HIV+ nIC",2.200,"(2.200, 2.200)"
8,"Ratio of HIV infectivity, ART to HIV+ nIC",0.100,"(0.100, 0.100)"
9,Infectivity of HIV+ nIC,0.106,"(0.094, 0.129)"
10,Infectivity of HIV+ IC,0.234,"(0.207, 0.284)"
11,Infectivity of HIV+ ART,0.011,"(0.009, 0.013)"
12,Prob: If Tc+ after Tc | HIV -,0.000,"(0.000, 0.000)"
13,Prob: If Tc+ after Tc | HIV+nIC,0.000,"(0.000, 0.000)"
14,Prob: If Tc+ after Tc | HIV+IC,0.000,"(0.000, 0.000)"
15,Prob: If Tc+ after Tc | HIV+ART,0.000,"(0.000, 0.000)"
16,Rate of follow-up | Tc+ >1 | HIV-,0.000,"(0.000, 0.000)"
17,Rate of follow-up | Tc+ >1 | HIV+nIC,0.000,"(0.000, 0.000)"
18,Rate of follow-up | Tc+ >1 | HIV+IC,0.000,"(0.000, 0.000)"
19,Rate of follow-up | Tc+ >1 | HIV+ART,0.000,"(0.000, 0.000)"
20,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV -,0.000,"(0.000, 0.000)"
21,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+nIC,0.000,"(0.000, 0.000)"
22,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+IC,0.000,"(0.000, 0.000)"
23,Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+ART,0.000,"(0.000, 0.000)"
24,Cost of clinic visit for initial diagnosis (excluding tests),13.890,"(13.890, 13.890)"
25,Cost of follow-up clinic visit (excluding tests),6.240,"(6.240, 6.240)"
26,Cost of Xpert,13.840,"(13.840, 13.840)"
27,Cost of culture,7.090,"(7.090, 7.090)"
28,Cost of DST,14.020,"(14.020, 14.020)"
29,Cost of smear microscopy,1.250,"(1.250, 1.250)"
30,Cost of X-ray,23.843,"(19.462, 26.988)"
31,Cost of DS-TB treatment (full course),511.342,"(381.873, 640.637)"
32,Cost of MDR-TB treatment (full course),7190.016,"(6272.557, 8086.163)"
33,Cost of IPT (per year),19.407,"(12.781, 22.291)"
34,Cost of monitoring visit (per year),0.000,"(0.000, 0.000)"
35,Cost of ART (per year),1709.017,"(1606.140, 1828.854)"
36,"Cost of + | No IPT, No ART (per year)",0.000,"(0.000, 0.000)"
37,"Cost of + |IPT, No ART (per year)",19.407,"(12.781, 22.291)"
38,"Cost of +|No IPT, ART (per year)",1709.017,"(1606.140, 1828.854)"
39,"Cost of +|IPT, ART (per year)",1728.424,"(1623.022, 1851.134)"
40,Cost of diagnosing | Tn,73.933,"(69.552, 77.078)"
41,Cost of diagnosting | Ti ,60.093,"(55.712, 63.238)"
42,Cost of diagnosing | Tc,60.093,"(55.712, 63.238)"
43,Cost of diagnosing | Tc+,13.330,"(13.330, 13.330)"
44,Disutility | HIV+nIC,0.012,"(0.008, 0.019)"
45,Disutility | HIV+IC,0.412,"(0.368, 0.503)"
46,Disutility | HIV+ART,0.077,"(0.067, 0.095)"
47,Disutility | I | HIV-,0.331,"(0.267, 0.390)"
48,Disutility | T | HIV-,0.000,"(0.000, 0.000)"
49,Disutility | I | HIV+nIC,0.339,"(0.276, 0.400)"
50,Disutility | T | HIV+nIC,0.012,"(0.008, 0.019)"
51,Disutility | I | HIV+IC,0.606,"(0.542, 0.686)"
52,Disutility | T | HIV+IC,0.412,"(0.368, 0.503)"
53,Disutility | I | HIV+ART,0.382,"(0.322, 0.442)"
54,Disutility | T | HIV+ART,0.077,"(0.067, 0.095)"
55,Life-years lost | TB cause of death,26.842,"(25.714, 28.078)"
56,Life-years lost | HIV cause of death,34.203,"(32.673, 35.254)"
57,Prob DILI,0.021,"(0.005, 0.106)"
58,Prob Hospitalization if DILI,0.016,"(0.009, 0.021)"
59,Prob Death if Hospitalized,0.053,"(0.026, 0.093)"
60,Prob Hospitalization,0.000,"(0.000, 0.001)"
61,Prob Death,0.000,"(0.000, 0.000)"
62,Cost of managing DILI,44.752,"(22.901, 67.185)"
63,Cost of Hospitalization,796.266,"(724.318, 979.207)"
64,E[Cost of managing DILI],0.805,"(0.205, 3.374)"
65,E[Cost of DILI-related hospitalization],0.262,"(0.057, 0.990)"
66,E[Additional cost due to DILI],1.066,"(0.241, 4.251)"
67,Duration of DILI,0.083,"(0.083, 0.083)"
68,Duration of DILI-related hospitalization,0.019,"(0.019, 0.019)"
69,Disutility of DILI,0.148,"(0.072, 0.204)"
70,Disutility of DILI-related hospitalization,0.629,"(0.383, 0.792)"
71,E[DALY of DILI],0.000,"(0.000, 0.001)"
72,E[DALY of DILI-related hospitalization,0.000,"(0.000, 0.000)"
73,E[DALY of DILI-death,0.000,"(0.000, 0.002)"
74,E[Additional DALY due to DILI],0.001,"(0.000, 0.002)"
75,Sensitivity of diagnosis for | I | Tn | HIV-,0.865,"(0.831, 0.894)"
76,Sensitivity of diagnosis for | I | Ti | HIV-,0.865,"(0.831, 0.894)"
77,Sensitivity of diagnosis for | I | Tc | HIV-,0.865,"(0.831, 0.894)"
78,Sensitivity of diagnosis for | I | Tc+ | HIV-,0.950,"(0.950, 0.950)"
79,Sensitivity of diagnosis for | I | Tn | HIV+,0.781,"(0.741, 0.837)"
80,Sensitivity of diagnosis for | I | Ti | HIV+,0.781,"(0.741, 0.837)"
81,Sensitivity of diagnosis for | I | Tc | HIV+,0.781,"(0.741, 0.837)"
82,Sensitivity of diagnosis for | I | Tc+ | HIV+,0.950,"(0.950, 0.950)"
83,Rate: Dropout | L | Tc+ >1| HIV -,0.000,"(0.000, 0.000)"
84,Rate: Dropout | I | Tc+ >1| HIV -,0.000,"(0.000, 0.000)"
85,IPT effectiveness | relative reduction in prob fast progression | L | comp,0.654,"(0.472, 0.798)"
86,IPT effectiveness | relative reduction in activation rate | L | comp,0.664,"(0.551, 0.752)"
87,Multiplier | IPT effectiveness | reduction in prob fast progression | L | comp,0.346,"(0.202, 0.528)"
88,Multiplier | IPT effectiveness | reduction in activation rate | L | comp,0.336,"(0.248, 0.449)"
89,ART Effectiveness Factor,0.681,"(0.480, 0.785)"
90,Birth rate,0.023,"(0.022, 0.024)"
91,Aging rate | S | children,0.067,"(0.064, 0.070)"
92,Aging rate | L | children,0.067,"(0.065, 0.070)"
93,Aging rate | I | children,0.068,"(0.064, 0.070)"
94,Aging rate | R| children,0.066,"(0.064, 0.069)"
95,Rate: Progression to HIV-IC from HIV-nIC,0.142,"(0.137, 0.149)"
96,Ratio of death rate:  adults |experienced to adults | naive ,3.943,"(3.705, 4.168)"
97,Natural death rate | children,0.002,"(0.002, 0.002)"
98,Natural death rate | adults | naive ,0.009,"(0.009, 0.009)"
99,Natural death rate | adults | experienced ,0.035,"(0.032, 0.037)"
100,Excess mortality | HIV if nIC,0.008,"(0.005, 0.012)"
101,Excess mortality | HIV if IC,0.240,"(0.201, 0.278)"
102,Excess mortality | HIV on ART,0.008,"(0.005, 0.011)"
103,1 - partial immunity from prior infection | HIV -,0.405,"(0.173, 0.583)"
104,1 - partial immunity from prior treatment | HIV -,1.627,"(0.582, 2.297)"
105,1 - partial immunity from prior infection | HIV+ nIC,0.575,"(0.350, 0.762)"
106,1 - partial immunity from prior treatment | HIV+ nIC,1.207,"(0.407, 2.737)"
107,1 - partial immunity from prior infection | HIV+ IC,0.717,"(0.618, 0.851)"
108,1 - partial immunity from prior treatment | HIV+ IC,1.763,"(0.822, 2.703)"
109,1 - partial immunity from prior infection | HIV+ ART,0.540,"(0.324, 0.735)"
110,1 - partial immunity from prior treatment | HIV+ ART,1.627,"(0.686, 2.572)"
111,Ratio: Susceptibility of S | children to S | Tn | HIV -,1.383,"(1.097, 1.486)"
112,Ratio: Susceptibility of L | children to S | Tn | HIV -,1.250,"(1.044, 1.500)"
113,Ratio: Reactivation >1 to <1,0.165,"(0.100, 0.302)"
114,Susceptibility of S | Tn | HIV -,1.000,"(1.000, 1.000)"
115,Susceptibility of L | Tn| HIV -,0.405,"(0.173, 0.583)"
116,Susceptibility of L | Ti <1| HIV -,1.627,"(0.582, 2.297)"
117,Susceptibility of L | Tc <1| HIV -,1.627,"(0.582, 2.297)"
118,Susceptibility of L | Tc+ <1| HIV -,1.627,"(0.582, 2.297)"
119,Susceptibility of L | Ti >1| HIV -,1.627,"(0.582, 2.297)"
120,Susceptibility of L | Tc >1| HIV -,1.627,"(0.582, 2.297)"
121,Susceptibility of L | Tc+ >1| HIV -,1.627,"(0.582, 2.297)"
122,Susceptibility of S | Tn | HIV+nIC,1.000,"(1.000, 1.000)"
123,Susceptibility of L | Tn| HIV+nIC,0.575,"(0.350, 0.762)"
124,Susceptibility of L | Ti <1| HIV+nIC,1.207,"(0.407, 2.737)"
125,Susceptibility of L | Tc <1| HIV+nIC,1.207,"(0.407, 2.737)"
126,Susceptibility of L | Tc+ <1| HIV+nIC,1.207,"(0.407, 2.737)"
127,Susceptibility of L | Ti >1| HIV+nIC,1.207,"(0.407, 2.737)"
128,Susceptibility of L | Tc >1| HIV+nIC,1.207,"(0.407, 2.737)"
129,Susceptibility of L | Tc+ >1| HIV+nIC,1.207,"(0.407, 2.737)"
130,Susceptibility of S | Tn | HIV+IC,1.000,"(1.000, 1.000)"
131,Susceptibility of L | Tn| HIV+IC,0.717,"(0.618, 0.851)"
132,Susceptibility of L | Ti <1| HIV+IC,1.763,"(0.822, 2.703)"
133,Susceptibility of L | Tc <1| HIV+IC,1.763,"(0.822, 2.703)"
134,Susceptibility of L | Tc+ <1| HIV+IC,1.763,"(0.822, 2.703)"
135,Susceptibility of L | Ti >1| HIV+IC,1.763,"(0.822, 2.703)"
136,Susceptibility of L | Tc >1| HIV+IC,1.763,"(0.822, 2.703)"
137,Susceptibility of L | Tc+ >1| HIV+IC,1.763,"(0.822, 2.703)"
138,Susceptibility of S | Tn | HIV+ART,1.000,"(1.000, 1.000)"
139,Susceptibility of I | Ti <1| HIV+IC,0.540,"(0.324, 0.735)"
140,Susceptibility of I | Tc <1| HIV+IC,1.627,"(0.686, 2.572)"
141,Susceptibility of I | Tc+ <1| HIV+IC,1.627,"(0.686, 2.572)"
142,Susceptibility of I | Ti >1| HIV+IC,1.627,"(0.686, 2.572)"
143,Susceptibility of I | Tc >1| HIV+IC,1.627,"(0.686, 2.572)"
144,Susceptibility of I | Tc+ >1| HIV+IC,1.627,"(0.686, 2.572)"
145,Susceptibility of S | children,1.383,"(1.097, 1.486)"
146,Susceptibility of L | children,1.250,"(1.044, 1.500)"
147,Prob: If progress | S | Tn | HIV -,0.111,"(0.096, 0.136)"
148,Prob: If progress | L | Tn| HIV -,0.111,"(0.096, 0.136)"
149,Prob: If progress | L | Ti <1| HIV -,0.111,"(0.096, 0.136)"
150,Prob: If progress | L | Tc <1| HIV -,0.111,"(0.096, 0.136)"
151,Prob: If progress | L | Tc+ <1| HIV -,0.111,"(0.096, 0.136)"
152,Prob: If progress | L | Ti >1| HIV -,0.111,"(0.096, 0.136)"
153,Prob: If progress | L | Tc >1| HIV -,0.111,"(0.096, 0.136)"
154,Prob: If progress | L | Tc+ >1| HIV -,0.111,"(0.096, 0.136)"
155,Prob: If progress | S | Tn | HIV+nIC,0.314,"(0.182, 0.500)"
156,Prob: If progress | L | Tn| HIV+nIC,0.314,"(0.182, 0.500)"
157,Prob: If progress | L | Ti <1| HIV+nIC,0.314,"(0.182, 0.500)"
158,Prob: If progress | L | Tc <1| HIV+nIC,0.314,"(0.182, 0.500)"
159,Prob: If progress | L | Tc+ <1| HIV+nIC,0.314,"(0.182, 0.500)"
160,Prob: If progress | L | Ti >1| HIV+nIC,0.314,"(0.182, 0.500)"
161,Prob: If progress | L | Tc >1| HIV+nIC,0.314,"(0.182, 0.500)"
162,Prob: If progress | L | Tc+ >1| HIV+nIC,0.314,"(0.182, 0.500)"
163,Prob: If progress | S | Tn | HIV+IC,0.830,"(0.763, 0.887)"
164,Prob: If progress | L | Tn| HIV+IC,0.830,"(0.763, 0.887)"
165,Prob: If progress | L | Ti <1| HIV+IC,0.830,"(0.763, 0.887)"
166,Prob: If progress | L | Tc <1| HIV+IC,0.830,"(0.763, 0.887)"
167,Prob: If progress | L | Tc+ <1| HIV+IC,0.830,"(0.763, 0.887)"
168,Prob: If progress | L | Ti >1| HIV+IC,0.830,"(0.763, 0.887)"
169,Prob: If progress | L | Tc >1| HIV+IC,0.830,"(0.763, 0.887)"
170,Prob: If progress | L | Tc+ >1| HIV+IC,0.830,"(0.763, 0.887)"
171,Prob: If progress | S | Tn | HIV+ART,0.214,"(0.111, 0.390)"
172,Prob: If progress | L | Tn| HIV+ART,0.214,"(0.111, 0.390)"
173,Prob: If progress | L | Ti <1| HIV+ART,0.214,"(0.111, 0.390)"
174,Prob: If progress | L | Tc <1| HIV+ART,0.214,"(0.111, 0.390)"
175,Prob: If progress | L | Tc+ <1| HIV+ART,0.214,"(0.111, 0.390)"
176,Prob: If progress | L | Ti >1| HIV+ART,0.214,"(0.111, 0.390)"
177,Prob: If progress | L | Tc >1| HIV+ART,0.214,"(0.111, 0.390)"
178,Prob: If progress | L | Tc+ >1| HIV+ART,0.214,"(0.111, 0.390)"
179,Prob: If progress | S | children,0.116,"(0.099, 0.135)"
180,Prob: If progress | L | children,0.046,"(0.020, 0.062)"
181,Rate: TB Reactivation | L | Tn| HIV -,0.001,"(0.000, 0.002)"
182,Rate: TB Reactivation | L | Ti <1| HIV -,0.086,"(0.040, 0.185)"
183,Rate: TB Reactivation | L | Tc <1| HIV -,0.139,"(0.091, 0.167)"
184,Rate: TB Reactivation | L | Tc+ <1| HIV -,0.139,"(0.091, 0.167)"
185,Rate: TB Reactivation | L | Ti >1| HIV -,0.015,"(0.006, 0.032)"
186,Rate: TB Reactivation | L | Tc >1| HIV -,0.022,"(0.012, 0.030)"
187,Rate: TB Reactivation | L | Tc+ >1| HIV -,0.022,"(0.012, 0.030)"
188,Rate: TB Reactivation | L | Tn| HIV+nIC,0.004,"(0.002, 0.006)"
189,Rate: TB Reactivation | L | Ti <1| HIV+nIC,0.274,"(0.028, 0.354)"
190,Rate: TB Reactivation | L | Tc <1| HIV+nIC,0.245,"(0.100, 0.360)"
191,Rate: TB Reactivation | L | Tc+ <1| HIV+nIC,0.245,"(0.100, 0.360)"
192,Rate: TB Reactivation | L | Ti >1| HIV+nIC,0.044,"(0.005, 0.068)"
193,Rate: TB Reactivation | L | Tc >1| HIV+nIC,0.040,"(0.013, 0.068)"
194,Rate: TB Reactivation | L | Tc+ >1| HIV+nIC,0.040,"(0.013, 0.068)"
195,Rate: TB Reactivation | L | Tn| HIV+IC,0.127,"(0.084, 0.185)"
196,Rate: TB Reactivation | L | Ti <1| HIV+IC,0.379,"(0.024, 0.726)"
197,Rate: TB Reactivation | L | Tc <1| HIV+IC,0.478,"(0.165, 0.732)"
198,Rate: TB Reactivation | L | Tc+ <1| HIV+IC,0.478,"(0.165, 0.732)"
199,Rate: TB Reactivation | L | Ti >1| HIV+IC,0.064,"(0.005, 0.151)"
200,Rate: TB Reactivation | L | Tc >1| HIV+IC,0.077,"(0.025, 0.132)"
201,Rate: TB Reactivation | L | Tc+ >1| HIV+IC,0.077,"(0.025, 0.132)"
202,Rate: TB Reactivation | L | Tn| HIV+ART,0.003,"(0.001, 0.004)"
203,Rate: TB Reactivation | L | Ti <1| HIV+ART,0.189,"(0.020, 0.266)"
204,Rate: TB Reactivation | L | Tc <1| HIV+ART,0.169,"(0.055, 0.256)"
205,Rate: TB Reactivation | L | Tc+ <1| HIV+ART,0.169,"(0.055, 0.256)"
206,Rate: TB Reactivation | L | Ti >1| HIV+ART,0.030,"(0.003, 0.047)"
207,Rate: TB Reactivation | L | Tc >1| HIV+ART,0.027,"(0.009, 0.049)"
208,Rate: TB Reactivation | L | Tc+ >1| HIV+ART,0.027,"(0.009, 0.049)"
209,Rate: TB Reactivation | L | children,0.001,"(0.001, 0.002)"
210,Excess mortality | I | HIV -,0.298,"(0.202, 0.365)"
211,Excess mortality | I | HIV+ nIC,0.271,"(0.211, 0.345)"
212,Excess mortality | I | HIV+ IC,0.870,"(0.496, 1.256)"
213,Excess mortality | I | HIV+ ART,0.282,"(0.214, 0.361)"
214,Excess mortality | T | HIV -,0.061,"(0.047, 0.068)"
215,Excess mortality | T | HIV+ nIC,0.060,"(0.048, 0.069)"
216,Excess mortality | T | HIV+ IC,0.062,"(0.048, 0.069)"
217,Excess mortality | T | HIV+ ART,0.058,"(0.050, 0.069)"
218,Rate: Natural recovery | I | Tn| HIV -,0.204,"(0.167, 0.239)"
219,Rate: Natural recovery | I | Ti <1| HIV -,0.194,"(0.155, 0.241)"
220,Rate: Natural recovery | I | Tc <1| HIV -,0.190,"(0.154, 0.249)"
221,Rate: Natural recovery | I | Tc+ <1| HIV -,0.190,"(0.154, 0.249)"
222,Rate: Natural recovery | I | Ti >1| HIV -,0.194,"(0.155, 0.241)"
223,Rate: Natural recovery | I | Tc >1| HIV -,0.190,"(0.154, 0.249)"
224,Rate: Natural recovery | I | Tc+ >1| HIV -,0.190,"(0.154, 0.249)"
225,Rate: Natural recovery | I | Tn| HIV+nIC,0.109,"(0.065, 0.156)"
226,Rate: Natural recovery | I | Ti <1| HIV+nIC,0.121,"(0.062, 0.148)"
227,Rate: Natural recovery | I | Tc <1| HIV+nIC,0.119,"(0.070, 0.158)"
228,Rate: Natural recovery | I | Tc+ <1| HIV+nIC,0.119,"(0.070, 0.158)"
229,Rate: Natural recovery | I | Ti >1| HIV+nIC,0.121,"(0.062, 0.148)"
230,Rate: Natural recovery | I | Tc >1| HIV+nIC,0.119,"(0.070, 0.158)"
231,Rate: Natural recovery | I | Tc+ >1| HIV+nIC,0.119,"(0.070, 0.158)"
232,Rate: Natural recovery | I | Tn| HIV+IC,0.000,"(0.000, 0.000)"
233,Rate: Natural recovery | I | Ti <1| HIV+IC,0.000,"(0.000, 0.000)"
234,Rate: Natural recovery | I | Tc <1| HIV+IC,0.000,"(0.000, 0.000)"
235,Rate: Natural recovery | I | Tc+ <1| HIV+IC,0.000,"(0.000, 0.000)"
236,Rate: Natural recovery | I | Ti >1| HIV+IC,0.000,"(0.000, 0.000)"
237,Rate: Natural recovery | I | Tc >1| HIV+IC,0.000,"(0.000, 0.000)"
238,Rate: Natural recovery | I | Tc+ >1| HIV+IC,0.000,"(0.000, 0.000)"
239,Rate: Natural recovery | I | Tn| HIV+ART,0.109,"(0.065, 0.156)"
240,Rate: Natural recovery | I | Ti <1| HIV+ART,0.121,"(0.062, 0.148)"
241,Rate: Natural recovery | I | Tc <1| HIV+ART,0.119,"(0.070, 0.158)"
242,Rate: Natural recovery | I | Tc+ <1| HIV+ART,0.119,"(0.070, 0.158)"
243,Rate: Natural recovery | I | Ti >1| HIV+ART,0.121,"(0.062, 0.148)"
244,Rate: Natural recovery | I | Tc >1| HIV+ART,0.119,"(0.070, 0.158)"
245,Rate: Natural recovery | I | Tc+ >1| HIV+ART,0.119,"(0.070, 0.158)"
246,Rate: Natural recovery | I | children,0.205,"(0.155, 0.247)"
247,Time until passive detection: I | Tn| HIV -,0.410,"(0.228, 0.821)"
248,Time until passive detection: I | Ti <1| HIV -,0.939,"(0.225, 1.399)"
249,Time until passive detection: I | Tc <1| HIV -,0.554,"(0.160, 0.871)"
250,Time until passive detection: I | Tc+ <1| HIV -,0.554,"(0.160, 0.871)"
251,Time until passive detection: I | Ti >1| HIV -,0.939,"(0.225, 1.399)"
252,Time until passive detection: I | Tc >1| HIV -,0.554,"(0.160, 0.871)"
253,Time until passive detection: I | Tc+ >1| HIV -,0.554,"(0.160, 0.871)"
254,Time until passive detection: I | Tn| HIV+nIC,0.935,"(0.239, 1.800)"
255,Time until passive detection: I | Ti <1| HIV+nIC,0.740,"(0.149, 1.407)"
256,Time until passive detection: I | Tc <1| HIV+nIC,0.679,"(0.142, 1.344)"
257,Time until passive detection: I | Tc+ <1| HIV+nIC,0.679,"(0.142, 1.344)"
258,Time until passive detection: I | Ti >1| HIV+nIC,0.740,"(0.149, 1.407)"
259,Time until passive detection: I | Tc >1| HIV+nIC,0.679,"(0.142, 1.344)"
260,Time until passive detection: I | Tc+ >1| HIV+nIC,0.679,"(0.142, 1.344)"
261,Time until passive detection: I | Tn| HIV+IC,1.397,"(0.231, 1.957)"
262,Time until passive detection: I | Ti <1| HIV+IC,1.024,"(0.240, 1.389)"
263,Time until passive detection: I | Tc <1| HIV+IC,0.859,"(0.296, 1.445)"
264,Time until passive detection: I | Tc+ <1| HIV+IC,0.859,"(0.296, 1.445)"
265,Time until passive detection: I | Ti >1| HIV+IC,1.024,"(0.240, 1.389)"
266,Time until passive detection: I | Tc >1| HIV+IC,0.859,"(0.296, 1.445)"
267,Time until passive detection: I | Tc+ >1| HIV+IC,0.859,"(0.296, 1.445)"
268,Time until passive detection: I | Tn| HIV+ART,1.004,"(0.315, 1.921)"
269,Time until passive detection: I | Ti <1| HIV+ART,0.733,"(0.181, 1.340)"
270,Time until passive detection: I | Tc <1| HIV+ART,0.619,"(0.240, 1.260)"
271,Time until passive detection: I | Tc+ <1| HIV+ART,0.619,"(0.240, 1.260)"
272,Time until passive detection: I | Ti >1| HIV+ART,0.733,"(0.181, 1.340)"
273,Time until passive detection: I | Tc >1| HIV+ART,0.619,"(0.240, 1.260)"
274,Time until passive detection: I | Tc+ >1| HIV+ART,0.619,"(0.240, 1.260)"
275,Time until detection: I | children,1.453,"(0.186, 2.678)"
