Replication,Simulation Period,To: Natual Death | HIV-,To: TB Death | infectious and undetected | HIV -,To: TB Death | under treatment | HIV -,To: Death | HIV+ nIC,To: TB Death | infectious and undetected | HIV+ nIC,To: TB Death | under treatment | HIV+ nIC,To: Death | HIV+ IC,To: TB Death | infectious and undetected | HIV+ IC,To: TB Death | under treatment | HIV+ IC,To: Death | ART,To: TB Death | infectious and undetected | ART,To: TB Death | under treatment | ART,To: Death | Children,To: TB Death | Children,To: Adult background death,Screening Performed,Notified TB Cases | Children,Notified TB Cases | Naive Adults,Notified TB Cases | Experienced Adults,Notified TB Cases | HIV +,Notified TB Cases |Adults,Notified TB Cases,Active TB Incidence,Active TB Incidence | Naive Adults,Active TB Incidence | Experienced Adults,Incident To: I| Tc<1 or >1 |HIV-,Incident To: I | Tc <1| HIV -,Incident To: I | Tc >1| HIV -,Reactivation To: I| Tc<1 or >1 |HIV-,Reactivation To: I | Tc <1| HIV -,Reactivation To: I | Tc >1| HIV -,TB Deaths,HIV Deaths,New ART Initiation,Active TB Incidence | Per Pop.,Active TB Incidence | Naive Adults | Per Pop.,Active TB Incidence | Experienced Adults | Per Pop.,% <1 |Incident To: I| Tc<1 or >1 |HIV-,% reactivation |Incident To: I| Tc<1 or >1 |HIV-,% reactivation |Incident To: I | Tc <1| HIV -,% reactivation |Incident To: I | Tc >1| HIV -,TB Deaths | Per Pop.,% adults notified TB with HIV+,Simulation Time,In: S | Tn | HIV -,In: L | Tn| HIV -,In: L | Ti <1| HIV -,In: L | Tc <1| HIV -,In: L | Tc+ <1| HIV -,In: L | Ti >1| HIV -,In: L | Tc >1| HIV -,In: L | Tc+ >1| HIV -,In: I | Tn| HIV -,In: I | Ti <1| HIV -,In: I | Tc <1| HIV -,In: I | Tc+ <1| HIV -,In: I | Ti >1| HIV -,In: I | Tc >1| HIV -,In: I | Tc+ >1| HIV -,In: Ti | HIV -,In: Tc | HIV -,In: Tmdr | HIV -,In: S | Tn | HIV+nIC,In: L | Tn| HIV+nIC,In: L | Ti <1| HIV+nIC,In: L | Tc <1| HIV+nIC,In: L | Tc+ <1| HIV+nIC,In: L | Ti >1| HIV+nIC,In: L | Tc >1| HIV+nIC,In: L | Tc+ >1| HIV+nIC,In: I | Tn| HIV+nIC,In: I | Ti <1| HIV+nIC,In: I | Tc <1| HIV+nIC,In: I | Tc+ <1| HIV+nIC,In: I | Ti >1| HIV+nIC,In: I | Tc >1| HIV+nIC,In: I | Tc+ >1| HIV+nIC,In: Ti | HIV+nIC,In: Tc | HIV+nIC,In: Tmdr | HIV+nIC,In: S | Tn | HIV+IC,In: L | Tn| HIV+IC,In: L | Ti <1| HIV+IC,In: L | Tc <1| HIV+IC,In: L | Tc+ <1| HIV+IC,In: L | Ti >1| HIV+IC,In: L | Tc >1| HIV+IC,In: L | Tc+ >1| HIV+IC,In: I | Tn| HIV+IC,In: I | Ti <1| HIV+IC,In: I | Tc <1| HIV+IC,In: I | Tc+ <1| HIV+IC,In: I | Ti >1| HIV+IC,In: I | Tc >1| HIV+IC,In: I | Tc+ >1| HIV+IC,In: Ti | HIV+IC,In: Tc | HIV+IC,In: Tmdr | HIV+IC,In: S | Tn | HIV+ART,In: L | Tn| HIV+ART,In: L | Ti <1| HIV+ART,In: L | Tc <1| HIV+ART,In: L | Tc+ <1| HIV+ART,In: L | Ti >1| HIV+ART,In: L | Tc >1| HIV+ART,In: L | Tc+ >1| HIV+ART,In: I | Tn| HIV+ART,In: I | Ti <1| HIV+ART,In: I | Tc <1| HIV+ART,In: I | Tc+ <1| HIV+ART,In: I | Ti >1| HIV+ART,In: I | Tc >1| HIV+ART,In: I | Tc+ >1| HIV+ART,In: Ti | HIV+ART,In: Tc | HIV+ART,In: Tmdr | HIV+ART,In: S | children,In: L | children,In: I | children,In: R| children,Population,Population | Children,Population | Adults,Population | Naive Adults,Population | Experienced Adults,HIV Prevalence,Active TB Prevalence,Active TB  & HIV+ | Prevalence,Active TB & Adults | Prevalence,Active TB & Naive Adults | Prevalence,Active TB & Experienced Adults | Prevalence,Active TB or On Treatment,In Post-Treatment Follow-Up,On TB Treatment,Experienced Adults Prevalence (Ratio),HIV Prevalence (Ratio),Active TB (Ratio),Active TB among Adults (Ratio),Active TB among Naive Adults (Ratio),Active TB among Experienced Adults (Ratio),Active TB among HIV+ (Ratio),Treatment Experieced Adults among Active TB (Ratio),HIV+ among Adult Active TB (Ratio),On Treatment / (Active TB + On T) (Ratio),Action Code,Replication,Observation Period,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5246,15801,0,0,0,907,202,0,52,0,0,0,44,11,0,0,0,0,143,430,0,0,0,25,5,0,1,0,0,0,1,0,0,0,0,0,137,412,0,0,0,24,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4251,4843,70,275,32887,9439,23448,22223,1225,1185,181,4,111,54,57,181,0,0,0.052243262,0.050537359,0.005503694,0.004733879,0.002429915,0.046530612,0.003375527,0.314917127,0.036036036,0,"1,0",0,0,0,"1,0"
0,1,0,24,4,2,1,0,102,9,1,0,0,0,19,0,265,0,46,140,72,24,212,258,310,224,36,6,2,4,2,2,0,58,104,0,0.009331447,0.010015202,0.02907916,0.333333333,0.333333333,1,0,0.001745884,0.113207547,1,4974,16243,38,58,0,862,211,0,37,0,2,0,4,2,0,20,45,0,122,484,0,0,0,28,4,0,11,0,0,0,2,0,0,1,3,0,127,338,3,1,0,16,7,0,30,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4490,4674,71,301,33221,9536,23685,22366,1238,1189,159,43,88,78,10,184,0,25,0.052269369,0.050200549,0.004786129,0.003715432,0.003487436,0.008077544,0.036164844,0.062893082,0.488636364,0.135869565,"1,0",0,1,1,"1,0"
0,2,0,23,2,5,4,0,65,30,0,0,0,0,18,0,261,0,47,171,49,36,220,267,412,306,57,17,4,13,10,3,7,77,70,0,0.012295938,0.013586112,0.042857143,0.235294118,0.588235294,0.75,0.538461538,0.002298027,0.163636364,2,4560,16765,39,97,0,841,265,0,53,0,0,0,4,3,0,35,58,0,136,533,0,2,0,31,8,0,12,0,0,0,0,0,0,2,4,0,102,311,4,9,0,14,12,0,51,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618,4537,64,325,33507,9544,23963,22523,1330,1243,188,64,124,116,8,226,0,38,0.055502233,0.051871635,0.005610768,0.005174644,0.005150291,0.006015038,0.051488335,0.042553191,0.516129032,0.168141593,"1,0",0,2,2,"1,0"
0,3,0,19,8,3,6,0,65,30,0,0,0,0,13,0,280,0,40,184,53,42,237,277,390,270,63,15,7,8,9,6,3,76,68,0,0.011512235,0.011931065,0.04368932,0.466666667,0.6,0.857142857,0.375,0.00224341,0.17721519,3,4181,17265,50,123,0,808,355,0,40,0,0,0,2,0,0,36,59,0,125,563,0,2,0,26,10,0,12,0,1,0,0,0,0,0,4,0,95,302,3,24,0,11,21,0,47,3,0,0,1,2,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809,4478,71,335,33877,9693,24184,22630,1442,1265,179,66,108,99,9,219,0,40,0.059626199,0.052307311,0.005283821,0.004465762,0.004374724,0.006241331,0.052173913,0.05027933,0.611111111,0.182648402,"1,0",0,3,3,"1,0"
0,4,0,16,3,4,6,1,85,30,1,0,0,0,23,0,292,0,37,138,58,37,196,233,347,219,84,30,11,19,16,8,8,80,89,0,0.01013701,0.00962299,0.055226824,0.366666667,0.533333333,0.727272727,0.421052632,0.002337063,0.18877551,4,3945,17636,54,102,0,791,447,0,45,1,3,0,8,2,0,35,61,0,115,572,0,6,0,31,14,0,14,0,0,0,0,0,0,0,4,0,86,303,5,8,0,10,35,0,42,1,0,0,3,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033,4391,72,343,34231,9839,24392,22758,1521,1262,191,60,119,101,18,229,0,38,0.06235651,0.051738275,0.005579738,0.004878649,0.004438,0.01183432,0.047543582,0.094240838,0.504201681,0.165938865,"1,0",0,4,4,"1,0"
0,5,0,19,3,2,5,0,78,34,2,0,0,0,24,0,285,0,48,160,67,38,227,275,388,242,93,35,12,23,17,11,6,87,80,0,0.01123563,0.010555241,0.057585139,0.342857143,0.485714286,0.916666667,0.260869565,0.002519329,0.167400881,5,3695,18025,56,152,0,762,504,0,48,1,1,0,9,6,0,11,69,0,94,638,2,9,0,28,18,0,14,0,0,0,2,1,0,1,5,0,89,283,3,7,0,15,35,0,41,1,0,0,0,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5118,4331,73,371,34533,9893,24640,22927,1615,1301,200,62,127,103,24,214,0,14,0.065543831,0.052800325,0.005791562,0.005154221,0.00449252,0.014860681,0.04765565,0.12,0.488188976,0.065420561,"1,0",0,5,5,"1,0"
0,6,0,11,6,5,4,0,79,26,1,0,0,0,17,0,277,0,51,172,84,55,256,307,379,225,104,42,14,28,22,9,13,65,84,0,0.010870812,0.009743634,0.061393152,0.333333333,0.523809524,0.642857143,0.464285714,0.001864387,0.21484375,6,3572,18334,33,155,0,747,592,0,39,0,3,0,4,11,0,18,85,0,89,660,3,11,0,32,25,0,9,0,0,0,0,0,0,2,4,0,81,271,5,16,0,12,38,0,37,2,1,0,1,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5199,4290,67,398,34864,9954,24910,23092,1694,1317,177,53,110,85,25,200,0,23,0.068004817,0.052870333,0.00507687,0.004415897,0.003680928,0.014757969,0.040242976,0.141242938,0.481818182,0.115,"1,0",0,6,6,"1,0"
0,7,0,23,6,8,4,0,75,24,0,0,0,0,20,0,309,0,46,151,69,34,220,266,402,255,95,50,17,33,25,14,11,77,83,0,0.011431821,0.010948905,0.053763441,0.34,0.5,0.823529412,0.333333333,0.002189677,0.154545455,7,3442,18632,30,158,0,713,691,0,56,0,5,0,2,6,0,15,89,0,79,682,3,7,0,31,33,0,13,0,0,0,3,1,0,0,4,0,70,279,5,13,0,13,41,0,37,0,4,0,1,7,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5267,4244,67,410,35165,9988,25177,23290,1767,1338,202,66,135,106,29,220,0,18,0.070183104,0.053143742,0.005744348,0.005362037,0.00455131,0.016411998,0.049327354,0.143564356,0.488888889,0.081818182,"1,0",0,7,7,"1,0"
0,8,0,18,9,6,3,0,75,27,1,0,0,0,18,0,317,0,49,162,87,52,249,298,424,264,101,47,8,39,21,5,16,76,81,0,0.011956123,0.011258476,0.055251641,0.170212766,0.446808511,0.625,0.41025641,0.002143079,0.208835341,8,3233,18959,29,172,0,681,783,0,64,1,0,0,2,4,0,16,86,0,82,719,2,5,0,28,37,0,21,0,0,0,2,1,0,0,5,0,55,279,3,22,0,10,43,0,37,1,0,0,0,2,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5310,4251,71,424,35463,10056,25407,23449,1828,1377,206,64,135,122,13,223,0,17,0.071948676,0.054197662,0.005808871,0.005313496,0.005202781,0.007111597,0.04647785,0.063106796,0.474074074,0.076233184,"1,0",0,8,8,"1,0"
0,9,0,20,5,7,4,0,79,25,0,0,0,0,20,0,305,0,52,186,81,50,267,319,462,287,108,61,17,44,30,13,17,74,86,0,0.012901784,0.012139926,0.056162246,0.278688525,0.491803279,0.764705882,0.386363636,0.00206652,0.187265918,9,3093,19302,29,162,0,654,881,0,64,0,2,0,1,10,0,16,103,0,68,711,1,9,0,27,43,0,23,0,0,0,1,2,0,0,5,0,59,283,2,20,0,16,55,0,38,2,0,0,2,4,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5356,4222,81,451,35809,10110,25699,23641,1923,1382,230,72,149,125,24,247,0,17,0.074827814,0.053776412,0.006422966,0.005797891,0.005287424,0.012480499,0.052098408,0.104347826,0.483221477,0.068825911,"1,0",0,9,9,"1,0"
0,10,0,10,10,6,3,0,69,37,1,0,0,0,17,0,307,0,64,191,90,49,281,345,504,303,130,71,15,56,38,13,25,78,75,0,0.013935355,0.012750379,0.064612326,0.211267606,0.535211268,0.866666667,0.446428571,0.002156662,0.174377224,10,2883,19634,24,177,0,622,977,0,56,0,4,0,3,10,0,11,112,0,60,737,3,10,0,26,41,0,22,0,0,0,0,1,0,0,5,0,58,261,0,22,0,15,65,0,53,0,2,0,1,9,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436,4249,85,482,36167,10252,25915,23764,2012,1402,246,88,161,131,30,258,0,12,0.077638433,0.054099942,0.006801781,0.006212618,0.00551254,0.014910537,0.062767475,0.12195122,0.546583851,0.046511628,"1,0",0,10,10,"1,0"
0,11,0,24,5,9,5,2,76,33,2,0,0,0,15,0,326,0,52,216,109,68,325,377,552,338,148,75,21,54,38,17,21,86,85,0,0.015152763,0.014190948,0.069976359,0.28,0.506666667,0.80952381,0.388888889,0.002360757,0.209230769,11,2651,19924,24,215,0,594,1077,0,59,0,4,0,1,13,0,16,105,0,58,728,1,7,0,23,52,0,19,0,0,0,1,1,0,1,5,0,46,272,3,15,0,18,52,0,61,0,3,0,0,11,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5401,4349,94,498,36429,10342,26087,23818,2115,1404,267,96,173,139,34,285,0,18,0.081074865,0.05381991,0.007329326,0.006631656,0.005835922,0.01607565,0.068376068,0.127340824,0.554913295,0.063157895,"1,0",0,11,11,"1,0"
0,12,0,22,9,14,8,0,68,46,1,0,0,0,24,0,327,0,58,203,122,68,325,383,597,347,169,84,20,64,32,14,18,110,82,0,0.016264814,0.01447341,0.07716895,0.238095238,0.380952381,0.7,0.28125,0.002996867,0.209230769,12,2460,20280,15,191,0,571,1200,0,74,1,4,0,4,10,0,7,127,0,56,720,0,8,0,23,46,0,29,0,1,0,1,1,0,0,7,0,41,256,2,29,0,15,53,0,59,0,1,0,1,13,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5331,4412,103,523,36705,10369,26336,23975,2190,1392,302,106,199,162,37,311,0,9,0.083156136,0.052855407,0.008227762,0.007556197,0.006757039,0.016894977,0.076149425,0.122516556,0.532663317,0.028938907,"1,0",0,12,12,"1,0"
0,13,0,27,5,9,11,0,65,51,3,0,0,0,22,0,301,0,71,240,118,79,358,429,590,326,164,87,16,71,39,12,27,119,74,69,0.015931737,0.013533148,0.070689655,0.183908046,0.448275862,0.75,0.38028169,0.00321335,0.220670391,13,2286,20601,17,247,0,548,1288,0,50,0,3,0,2,12,0,13,127,0,52,719,0,7,0,20,45,0,23,0,1,0,1,0,0,2,14,0,35,219,4,24,0,13,59,0,49,1,7,0,4,6,0,1,23,0,3,48,0,3,0,1,7,0,4,0,0,0,0,0,0,0,2,0,5291,4488,124,539,37033,10442,26591,24089,2320,1397,287,96,163,126,37,303,0,16,0.087247565,0.052536573,0.007749845,0.006129894,0.005230603,0.015948276,0.068718683,0.128919861,0.588957055,0.052805281,"1,0",0,13,13,"1,0"
